 ETA_AV=  0.081201829
   6.3200      0.854056  1.051769
   6.3400      0.854028  1.051735
   6.3600      0.854014  1.051717
   6.3800      0.854057  1.051771
   6.4000      0.854008  1.051711
   6.4200      0.853985  1.051682
   6.4400      0.853927  1.051611
   6.4600      0.853879  1.051552
   6.4800      0.853822  1.051481
   6.5000      0.853736  1.051375
   6.5200      0.853826  1.051487
   6.5400      0.853782  1.051432
   6.5600      0.853711  1.051344
   6.5800      0.853616  1.051228
   6.6000      0.853651  1.051271
   6.6200      0.853630  1.051244
   6.6400      0.853623  1.051236
   6.6600      0.853689  1.051318
   6.6800      0.853689  1.051317
   6.7000      0.853848  1.051513
   6.7200      0.853821  1.051480
   6.7400      0.853732  1.051370
   6.7600      0.853838  1.051500
   6.7800      0.853849  1.051514
   6.8000      0.853842  1.051505
   6.8200      0.853903  1.051582
   6.8400      0.853786  1.051437
   6.8600      0.853819  1.051478
   6.8800      0.853715  1.051349
   6.9000      0.853797  1.051450
   6.9200      0.853752  1.051395
   6.9400      0.853754  1.051397
   6.9600      0.853740  1.051380
   6.9800      0.853769  1.051416
   7.0000      0.853774  1.051422
   7.0200      0.853744  1.051385
   7.0400      0.853662  1.051284
   7.0600      0.853676  1.051301
   7.0800      0.853720  1.051356
   7.1000      0.853710  1.051343
   7.1200      0.853769  1.051416
   7.1400      0.853844  1.051508
   7.1600      0.853845  1.051509
   7.1800      0.853856  1.051523
   7.2000      0.853829  1.051490
   7.2200      0.853850  1.051516
   7.2400      0.853810  1.051466
   7.2600      0.853746  1.051387
   7.2800      0.853779  1.051429
   7.3000      0.853813  1.051471
   7.3200      0.853835  1.051498
   7.3400      0.853758  1.051402
   7.3600      0.853740  1.051380
   7.3800      0.853811  1.051468
   7.4000      0.853760  1.051405
   7.4200      0.853759  1.051404
   7.4400      0.853821  1.051480
   7.4600      0.853848  1.051513
   7.4800      0.853808  1.051463
   7.5000      0.853844  1.051508
   7.5200      0.853833  1.051495
   7.5400      0.853869  1.051539
   7.5600      0.853925  1.051608
   7.5800      0.853915  1.051596
   7.6000      0.853904  1.051582
   7.6200      0.853903  1.051581
   7.6400      0.853892  1.051568
   7.6600      0.853899  1.051577
   7.6800      0.853874  1.051545
   7.7000      0.853895  1.051571
   7.7200      0.853917  1.051598
   7.7400      0.853962  1.051654
   7.7600      0.853896  1.051573
   7.7800      0.853837  1.051500
   7.8000      0.853785  1.051435
   7.8200      0.853796  1.051449
   7.8400      0.853783  1.051433
   7.8600      0.853777  1.051426
   7.8800      0.853774  1.051422
   7.9000      0.853791  1.051443
   7.9200      0.853757  1.051401
   7.9400      0.853740  1.051381
   7.9600      0.853709  1.051342
   7.9800      0.853732  1.051370
   8.0000      0.853701  1.051332
