 ETA_AV=  8.47117117E-05
   0.0000      0.129517 16.053598  0.000325
   4.9500      0.010462  1.296767  0.000026
   4.9750      0.010792  1.337626  0.000027
   5.0000      0.010167  1.260231  0.000025
   5.0250      0.010734  1.330425  0.000027
   5.0500      0.010470  1.297706  0.000026
   5.0750      0.010708  1.327254  0.000027
   5.1000      0.010112  1.253354  0.000025
   5.1250      0.010157  1.258947  0.000025
   5.1500      0.010085  1.250073  0.000025
   5.1750      0.009524  1.180462  0.000024
   5.2000      0.009440  1.170026  0.000024
   5.2250      0.009466  1.173353  0.000024
   5.2500      0.009744  1.207749  0.000024
   5.2750      0.009696  1.201769  0.000024
   5.3000      0.009484  1.175550  0.000024
   5.3250      0.009619  1.192312  0.000024
   5.3500      0.009286  1.151058  0.000023
   5.3750      0.009335  1.157077  0.000023
   5.4000      0.009359  1.160021  0.000023
   5.4250      0.009022  1.118237  0.000023
   5.4500      0.009235  1.144722  0.000023
   5.4750      0.009163  1.135717  0.000023
   5.5000      0.008481  1.051218  0.000021
   5.5250      0.008623  1.068858  0.000022
   5.5500      0.008788  1.089232  0.000022
   5.5750      0.008497  1.053204  0.000021
   5.6000      0.008651  1.072258  0.000022
   5.6250      0.008780  1.088315  0.000022
   5.6500      0.008456  1.048090  0.000021
   5.6750      0.008274  1.025565  0.000021
   5.7000      0.007906  0.979960  0.000020
   5.7250      0.007725  0.957469  0.000019
   5.7500      0.007716  0.956348  0.000019
   5.7750      0.007947  0.985048  0.000020
   5.8000      0.008338  1.033539  0.000021
   5.8250      0.007563  0.937404  0.000019
   5.8500      0.007621  0.944670  0.000019
   5.8750      0.007633  0.946145  0.000019
   5.9000      0.007872  0.975727  0.000020
   5.9250      0.007645  0.947593  0.000019
   5.9500      0.007862  0.974462  0.000020
   5.9750      0.007587  0.940439  0.000019
   6.0000      0.007306  0.905516  0.000018
   6.0250      0.007315  0.906687  0.000018
   6.0500      0.007284  0.902907  0.000018
   6.0750      0.007220  0.894920  0.000018
   6.1000      0.006734  0.834683  0.000017
   6.1250      0.007031  0.871547  0.000018
   6.1500      0.007087  0.878380  0.000018
   6.1750      0.007125  0.883123  0.000018
   6.2000      0.007043  0.872923  0.000018
   6.2250      0.006772  0.839333  0.000017
   6.2500      0.006763  0.838285  0.000017
   6.2750      0.006549  0.811796  0.000016
   6.3000      0.006662  0.825776  0.000017
   6.3250      0.006434  0.797480  0.000016
   6.3500      0.006832  0.846878  0.000017
   6.3750      0.006536  0.810132  0.000016
   6.4000      0.006565  0.813679  0.000016
   6.4250      0.006382  0.791097  0.000016
   6.4500      0.006345  0.786436  0.000016
   6.4750      0.006203  0.768802  0.000016
   6.5000      0.005996  0.743215  0.000015
   6.5250      0.006396  0.792724  0.000016
   6.5500      0.006064  0.751571  0.000015
   6.5750      0.005746  0.712177  0.000014
   6.6000      0.006310  0.782112  0.000016
   6.6250      0.006172  0.764983  0.000015
   6.6500      0.005984  0.741693  0.000015
   6.6750      0.005867  0.727245  0.000015
   6.7000      0.006037  0.748265  0.000015
   6.7250      0.005969  0.739843  0.000015
   6.7500      0.005774  0.715661  0.000014
   6.7750      0.006028  0.747203  0.000015
   6.8000      0.005523  0.684571  0.000014
   6.8250      0.005445  0.674847  0.000014
   6.8500      0.005468  0.677788  0.000014
   6.8750      0.005588  0.692615  0.000014
   6.9000      0.005757  0.713611  0.000014
   6.9250      0.005316  0.658915  0.000013
   6.9500      0.005498  0.681440  0.000014
   6.9750      0.005354  0.663582  0.000013
