 ETA_AV=  0.0929263681
   2.9300      1.003003  1.079353
   2.9400      1.002853  1.079191
   2.9500      1.002710  1.079037
   2.9600      1.002704  1.079031
   2.9700      1.002706  1.079033
   2.9800      1.002811  1.079146
   2.9900      1.003021  1.079372
   3.0000      1.002849  1.079187
   3.0100      1.002558  1.078873
   3.0200      1.002462  1.078770
   3.0300      1.002461  1.078769
   3.0400      1.002364  1.078665
   3.0500      1.002361  1.078661
   3.0600      1.002242  1.078534
   3.0700      1.002222  1.078512
   3.0800      1.002327  1.078626
   3.0900      1.002202  1.078491
   3.1000      1.002223  1.078513
   3.1100      1.002224  1.078514
   3.1200      1.002239  1.078530
   3.1300      1.002268  1.078561
   3.1400      1.002343  1.078642
   3.1500      1.002439  1.078746
   3.1600      1.002611  1.078931
   3.1700      1.002688  1.079013
   3.1800      1.002766  1.079098
   3.1900      1.002638  1.078960
   3.2000      1.002559  1.078875
   3.2100      1.002429  1.078735
   3.2200      1.002587  1.078905
   3.2300      1.002448  1.078755
   3.2400      1.002096  1.078377
   3.2500      1.002237  1.078528
   3.2600      1.002091  1.078371
   3.2700      1.002207  1.078496
   3.2800      1.002163  1.078449
   3.2900      1.001923  1.078190
   3.3000      1.002187  1.078474
   3.3100      1.002048  1.078325
   3.3200      1.001883  1.078147
   3.3300      1.001698  1.077948
   3.3400      1.001779  1.078035
   3.3500      1.001930  1.078198
   3.3600      1.001820  1.078080
   3.3700      1.001641  1.077886
   3.3800      1.001628  1.077873
   3.3900      1.001684  1.077934
   3.4000      1.001668  1.077916
   3.4100      1.001828  1.078088
   3.4200      1.001646  1.077892
   3.4300      1.001874  1.078138
   3.4400      1.001772  1.078028
   3.4500      1.001845  1.078106
   3.4600      1.001927  1.078194
   3.4700      1.001838  1.078099
   3.4800      1.001889  1.078154
   3.4900      1.001646  1.077893
   3.5000      1.001546  1.077785
   3.5100      1.001557  1.077796
   3.5200      1.001723  1.077975
   3.5300      1.001649  1.077895
   3.5400      1.001701  1.077952
   3.5500      1.001792  1.078049
   3.5600      1.001867  1.078130
   3.5700      1.001791  1.078048
   3.5800      1.001695  1.077945
   3.5900      1.001601  1.077844
   3.6000      1.001501  1.077736
   3.6100      1.001456  1.077688
   3.6200      1.001359  1.077583
   3.6300      1.001266  1.077483
   3.6400      1.001298  1.077518
   3.6500      1.001303  1.077523
   3.6600      1.001171  1.077381
   3.6700      1.001170  1.077380
   3.6800      1.001135  1.077342
   3.6900      1.001108  1.077314
   3.7000      1.001237  1.077452
   3.7100      1.001221  1.077435
   3.7200      1.001055  1.077256
   3.7300      1.001127  1.077334
   3.7400      1.001255  1.077472
   3.7500      1.001300  1.077519
   3.7600      1.001181  1.077392
   3.7700      1.001132  1.077339
   3.7800      1.001262  1.077479
   3.7900      1.001115  1.077321
   3.8000      1.001002  1.077199
   3.8100      1.001048  1.077248
   3.8200      1.001031  1.077231
   3.8300      1.001063  1.077265
   3.8400      1.001066  1.077268
   3.8500      1.000965  1.077159
