 ETA_AV=  0.105777204
   7.7800      1.000064  0.990066
   7.8000      1.000064  0.990066
   7.8200      1.000064  0.990066
   7.8400      1.000064  0.990066
   7.8600      1.000064  0.990066
   7.8800      1.000064  0.990066
   7.9000      1.000064  0.990066
   7.9200      1.000064  0.990066
   7.9400      1.000064  0.990066
   7.9600      1.000064  0.990066
   7.9800      1.000064  0.990066
   8.0000      1.000064  0.990066
